scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,Metro,907020.9415958389,911697.7486976217,-4676.807101782877,-0.5129778052500171
earthquake_m6_0,South,376906.3643048478,380055.00612035504,-3148.6418155072606,-0.82847002797015
earthquake_m6_0,East,505403.88260965527,508455.6265795147,-3051.743969859439,-0.6001986821129597
earthquake_m6_0,West,452149.3521901452,454813.2135112273,-2663.861321082106,-0.585704469867243
earthquake_m6_0,Central Mountains,365594.1986108623,367656.2594499778,-2062.0608391154674,-0.5608665121601242
earthquake_m6_0,North,350312.38051906996,352053.00864563696,-1740.6281265669968,-0.4944221704746305
earthquake_m6_5,Metro,903417.7893039711,911697.7486976217,-8279.959393650643,-0.9081912734213425
earthquake_m6_5,South,374850.23850762105,380055.00612035504,-5204.767612733995,-1.3694774516628152
earthquake_m6_5,East,503337.8013679157,508455.6265795147,-5117.8252115990035,-1.0065431365225839
earthquake_m6_5,West,450275.94495825574,454813.2135112273,-4537.268552971538,-0.9976114189698082
earthquake_m6_5,Central Mountains,364160.0967497495,367656.2594499778,-3496.1627002282767,-0.9509324567079631
earthquake_m6_5,North,349146.1301268101,352053.00864563696,-2906.878518826852,-0.8256934175934865
earthquake_m6_8,Metro,899717.2462499975,911697.7486976217,-11980.502447624225,-1.314087093528377
earthquake_m6_8,South,372768.265929085,380055.00612035504,-7286.740191270015,-1.9172856754746879
earthquake_m6_8,East,501227.0004944529,508455.6265795147,-7228.626085061813,-1.4216827796144695
earthquake_m6_8,West,448452.47789584415,454813.2135112273,-6360.735615383135,-1.398537998990242
earthquake_m6_8,Central Mountains,362624.84015266737,367656.2594499778,-5031.419297310407,-1.3685118008972637
earthquake_m6_8,North,347988.0926713444,352053.00864563696,-4064.915974292555,-1.154631795345383
earthquake_m7_2,Metro,896099.8394911862,911697.7486976217,-15597.90920643555,-1.7108640696675483
earthquake_m7_2,East,499008.8866872536,508455.6265795147,-9446.739892261103,-1.8579280862346357
earthquake_m7_2,South,370660.02206483996,380055.00612035504,-9394.984055515088,-2.472006394921661
earthquake_m7_2,West,446397.6588355553,454813.2135112273,-8415.55467567197,-1.8503320540541481
earthquake_m7_2,Central Mountains,361254.28674800193,367656.2594499778,-6401.972701975843,-1.741292997854393
earthquake_m7_2,North,346790.37632945285,352053.00864563696,-5262.632316184114,-1.494840886726032
earthquake_m7_5,Metro,896099.8394911862,911697.7486976217,-15597.90920643555,-1.7108640696675483
earthquake_m7_5,East,499008.8866872536,508455.6265795147,-9446.739892261103,-1.8579280862346357
earthquake_m7_5,South,370660.02206483996,380055.00612035504,-9394.984055515088,-2.472006394921661
earthquake_m7_5,West,446397.6588355553,454813.2135112273,-8415.55467567197,-1.8503320540541481
earthquake_m7_5,Central Mountains,361254.28674800193,367656.2594499778,-6401.972701975843,-1.741292997854393
earthquake_m7_5,North,346790.3763294529,352053.00864563696,-5262.6323161840555,-1.4948408867260154
